entry_number,entry_date,description,reference,account_number,debit,credit,line_description
JE-0011,2025-01-31,AP Payment - Cleaning and janitorial January 2025,PAY-01-5030,1000,,20000,Cash paid
JE-0012,2025-01-31,Operating Expenses - January 2025,OPEX-01-2025,5040,30000,,Electric - common areas
JE-0012,2025-01-31,Operating Expenses - January 2025,OPEX-01-2025,2000,,30000,Accounts payable
JE-0013,2025-01-31,AP Payment - Electric - common areas January 2025,PAY-01-5040,2000,30000,,Clear AP
JE-0013,2025-01-31,AP Payment - Electric - common areas January 2025,PAY-01-5040,1000,,30000,Cash paid
JE-0014,2025-01-31,Operating Expenses - January 2025,OPEX-01-2025,5050,40000,,Water and sewer
JE-0014,2025-01-31,Operating Expenses - January 2025,OPEX-01-2025,2000,,40000,Accounts payable
JE-0015,2025-01-31,AP Payment - Water and sewer January 2025,PAY-01-5050,2000,40000,,Clear AP
JE-0015,2025-01-31,AP Payment - Water and sewer January 2025,PAY-01-5050,1000,,40000,Cash paid
JE-0016,2025-01-31,Operating Expenses - January 2025,OPEX-01-2025,5060,5000,,Gas
JE-0016,2025-01-31,Operating Expenses - January 2025,OPEX-01-2025,2000,,5000,Accounts payable
JE-0017,2025-01-31,AP Payment - Gas January 2025,PAY-01-5060,2000,5000,,Clear AP
JE-0017,2025-01-31,AP Payment - Gas January 2025,PAY-01-5060,1000,,5000,Cash paid
JE-0018,2025-01-31,Operating Expenses - January 2025,OPEX-01-2025,5070,81667,,Property insurance
JE-0018,2025-01-31,Operating Expenses - January 2025,OPEX-01-2025,2000,,81667,Accounts payable
JE-0019,2025-01-31,AP Payment - Property insurance January 2025,PAY-01-5070,2000,81667,,Clear AP
JE-0019,2025-01-31,AP Payment - Property insurance January 2025,PAY-01-5070,1000,,81667,Cash paid
JE-0020,2025-01-31,Operating Expenses - January 2025,OPEX-01-2025,5090,140000,,Real estate taxes
JE-0020,2025-01-31,Operating Expenses - January 2025,OPEX-01-2025,2000,,140000,Accounts payable
JE-0021,2025-01-31,AP Payment - Real estate taxes January 2025,PAY-01-5090,2000,140000,,Clear AP
JE-0021,2025-01-31,AP Payment - Real estate taxes January 2025,PAY-01-5090,1000,,140000,Cash paid
JE-0022,2025-01-31,Operating Expenses - January 2025,OPEX-01-2025,5110,35000,,Security services
JE-0022,2025-01-31,Operating Expenses - January 2025,OPEX-01-2025,2000,,35000,Accounts payable
JE-0023,2025-01-31,AP Payment - Security services January 2025,PAY-01-5110,2000,35000,,Clear AP
JE-0023,2025-01-31,AP Payment - Security services January 2025,PAY-01-5110,1000,,35000,Cash paid
JE-0024,2025-01-31,Operating Expenses - January 2025,OPEX-01-2025,5120,15000,,Elevator maintenance
JE-0024,2025-01-31,Operating Expenses - January 2025,OPEX-01-2025,2000,,15000,Accounts payable
JE-0025,2025-01-31,AP Payment - Elevator maintenance January 2025,PAY-01-5120,2000,15000,,Clear AP
JE-0025,2025-01-31,AP Payment - Elevator maintenance January 2025,PAY-01-5120,1000,,15000,Cash paid
JE-0026,2025-01-31,Operating Expenses - January 2025,OPEX-01-2025,5130,12500,,HVAC maintenance
JE-0026,2025-01-31,Operating Expenses - January 2025,OPEX-01-2025,2000,,12500,Accounts payable
JE-0027,2025-01-31,AP Payment - HVAC maintenance January 2025,PAY-01-5130,2000,12500,,Clear AP
JE-0027,2025-01-31,AP Payment - HVAC maintenance January 2025,PAY-01-5130,1000,,12500,Cash paid
JE-0028,2025-01-31,Operating Expenses - January 2025,OPEX-01-2025,5140,6000,,Pest control
JE-0028,2025-01-31,Operating Expenses - January 2025,OPEX-01-2025,2000,,6000,Accounts payable
JE-0029,2025-01-31,AP Payment - Pest control January 2025,PAY-01-5140,2000,6000,,Clear AP
JE-0029,2025-01-31,AP Payment - Pest control January 2025,PAY-01-5140,1000,,6000,Cash paid
JE-0030,2025-01-31,Operating Expenses - January 2025,OPEX-01-2025,5150,10000,,Pool and amenity maintenance
JE-0030,2025-01-31,Operating Expenses - January 2025,OPEX-01-2025,2000,,10000,Accounts payable
JE-0031,2025-01-31,AP Payment - Pool and amenity maintenance January 2025,PAY-01-5150,2000,10000,,Clear AP
JE-0031,2025-01-31,AP Payment - Pool and amenity maintenance January 2025,PAY-01-5150,1000,,10000,Cash paid
JE-0032,2025-01-31,Operating Expenses - January 2025,OPEX-01-2025,5160,7000,,Trash and recycling
JE-0032,2025-01-31,Operating Expenses - January 2025,OPEX-01-2025,2000,,7000,Accounts payable
JE-0033,2025-01-31,AP Payment - Trash and recycling January 2025,PAY-01-5160,2000,7000,,Clear AP
JE-0033,2025-01-31,AP Payment - Trash and recycling January 2025,PAY-01-5160,1000,,7000,Cash paid
JE-0034,2025-01-31,Operating Expenses - January 2025,OPEX-01-2025,5170,5000,,Administrative and office
JE-0034,2025-01-31,Operating Expenses - January 2025,OPEX-01-2025,2000,,5000,Accounts payable
JE-0035,2025-01-31,AP Payment - Administrative and office January 2025,PAY-01-5170,2000,5000,,Clear AP
JE-0035,2025-01-31,AP Payment - Administrative and office January 2025,PAY-01-5170,1000,,5000,Cash paid
JE-0036,2025-01-31,Operating Expenses - January 2025,OPEX-01-2025,5180,7500,,Legal and professional
JE-0036,2025-01-31,Operating Expenses - January 2025,OPEX-01-2025,2000,,7500,Accounts payable
JE-0037,2025-01-31,AP Payment - Legal and professional January 2025,PAY-01-5180,2000,7500,,Clear AP
JE-0037,2025-01-31,AP Payment - Legal and professional January 2025,PAY-01-5180,1000,,7500,Cash paid
JE-0038,2025-01-31,Operating Expenses - January 2025,OPEX-01-2025,5190,10000,,Marketing and advertising
JE-0038,2025-01-31,Operating Expenses - January 2025,OPEX-01-2025,2000,,10000,Accounts payable
JE-0039,2025-01-31,AP Payment - Marketing and advertising January 2025,PAY-01-5190,2000,10000,,Clear AP
JE-0039,2025-01-31,AP Payment - Marketing and advertising January 2025,PAY-01-5190,1000,,10000,Cash paid
JE-0040,2025-01-31,Operating Expenses - January 2025,OPEX-01-2025,5200,7917,,Leasing commissions
JE-0040,2025-01-31,Operating Expenses - January 2025,OPEX-01-2025,2000,,7917,Accounts payable
JE-0041,2025-01-31,AP Payment - Leasing commissions January 2025,PAY-01-5200,2000,7917,,Clear AP
JE-0041,2025-01-31,AP Payment - Leasing commissions January 2025,PAY-01-5200,1000,,7917,Cash paid
JE-0042,2025-01-31,Operating Expenses - January 2025,OPEX-01-2025,5220,5667,,Bad debt expense
JE-0042,2025-01-31,Operating Expenses - January 2025,OPEX-01-2025,2000,,5667,Accounts payable
JE-0043,2025-01-31,AP Payment - Bad debt expense January 2025,PAY-01-5220,2000,5667,,Clear AP
JE-0043,2025-01-31,AP Payment - Bad debt expense January 2025,PAY-01-5220,1000,,5667,Cash paid
JE-0044,2025-01-31,Operating Expenses - January 2025,OPEX-01-2025,5230,20000,,Capital reserve contribution
JE-0044,2025-01-31,Operating Expenses - January 2025,OPEX-01-2025,2000,,20000,Accounts payable
JE-0045,2025-01-31,AP Payment - Capital reserve contribution January 2025,PAY-01-5230,2000,20000,,Clear AP
JE-0045,2025-01-31,AP Payment - Capital reserve contribution January 2025,PAY-01-5230,1000,,20000,Cash paid
JE-0046,2025-01-31,Operating Expenses - January 2025,OPEX-01-2025,5240,65000,,Payroll - on-site staff
JE-0046,2025-01-31,Operating Expenses - January 2025,OPEX-01-2025,2000,,65000,Accounts payable
JE-0047,2025-01-31,AP Payment - Payroll - on-site staff January 2025,PAY-01-5240,2000,65000,,Clear AP
JE-0047,2025-01-31,AP Payment - Payroll - on-site staff January 2025,PAY-01-5240,1000,,65000,Cash paid
JE-0048,2025-01-31,Operating Expenses - January 2025,OPEX-01-2025,5250,13000,,Payroll taxes and benefits
JE-0048,2025-01-31,Operating Expenses - January 2025,OPEX-01-2025,2000,,13000,Accounts payable
JE-0049,2025-01-31,AP Payment - Payroll taxes and benefits January 2025,PAY-01-5250,2000,13000,,Clear AP
JE-0049,2025-01-31,AP Payment - Payroll taxes and benefits January 2025,PAY-01-5250,1000,,13000,Cash paid
JE-0050,2025-01-31,Operating Expenses - January 2025,OPEX-01-2025,5260,2000,,Telephone and internet
JE-0050,2025-01-31,Operating Expenses - January 2025,OPEX-01-2025,2000,,2000,Accounts payable
JE-0051,2025-01-31,AP Payment - Telephone and internet January 2025,PAY-01-5260,2000,2000,,Clear AP
JE-0051,2025-01-31,AP Payment - Telephone and internet January 2025,PAY-01-5260,1000,,2000,Cash paid
JE-0052,2025-01-31,Operating Expenses - January 2025,OPEX-01-2025,5270,3000,,Software and technology
JE-0052,2025-01-31,Operating Expenses - January 2025,OPEX-01-2025,2000,,3000,Accounts payable
JE-0053,2025-01-31,AP Payment - Software and technology January 2025,PAY-01-5270,2000,3000,,Clear AP
JE-0053,2025-01-31,AP Payment - Software and technology January 2025,PAY-01-5270,1000,,3000,Cash paid
JE-0054,2025-01-31,Operating Expenses - January 2025,OPEX-01-2025,5280,1500,,Licenses and permits
JE-0054,2025-01-31,Operating Expenses - January 2025,OPEX-01-2025,2000,,1500,Accounts payable
JE-0055,2025-01-31,AP Payment - Licenses and permits January 2025,PAY-01-5280,2000,1500,,Clear AP
JE-0055,2025-01-31,AP Payment - Licenses and permits January 2025,PAY-01-5280,1000,,1500,Cash paid
JE-0056,2025-01-31,Operating Expenses - January 2025,OPEX-01-2025,5290,1250,,Bank charges and fees
JE-0056,2025-01-31,Operating Expenses - January 2025,OPEX-01-2025,2000,,1250,Accounts payable
JE-0057,2025-01-31,AP Payment - Bank charges and fees January 2025,PAY-01-5290,2000,1250,,Clear AP
JE-0057,2025-01-31,AP Payment - Bank charges and fees January 2025,PAY-01-5290,1000,,1250,Cash paid
JE-0058,2025-01-31,Mortgage Interest - January 2025,MTG-01-2025,7000,320833,,Mortgage interest expense
JE-0058,2025-01-31,Mortgage Interest - January 2025,MTG-01-2025,1000,,320833,Cash paid to BankUnited
JE-0059,2025-01-31,Mortgage Principal - January 2025,PRIN-01-2025,2200,41667,,Mortgage principal reduction
JE-0059,2025-01-31,Mortgage Principal - January 2025,PRIN-01-2025,1000,,41667,Cash paid to BankUnited
JE-0060,2025-02-28,Rental Income - February 2025,RENT-02-2025,1010,1897200,,Accounts receivable - tenant rent
JE-0060,2025-02-28,Rental Income - February 2025,RENT-02-2025,4000,,1897200,Residential rental income
JE-0061,2025-02-28,Rent Cash Receipt - February 2025,CASH-02-2025,1000,1897200,,Cash received for rent
JE-0061,2025-02-28,Rent Cash Receipt - February 2025,CASH-02-2025,1010,,1897200,Clear accounts receivable
JE-0062,2025-02-28,Other Income - February 2025,OTH-02-2025,1000,91250,,Parking pet laundry util reimbursement cash
JE-0062,2025-02-28,Other Income - February 2025,OTH-02-2025,4010,,60000,Parking income
JE-0062,2025-02-28,Other Income - February 2025,OTH-02-2025,4020,,11250,Pet fee income
JE-0062,2025-02-28,Other Income - February 2025,OTH-02-2025,4030,,5000,Laundry and vending
JE-0062,2025-02-28,Other Income - February 2025,OTH-02-2025,4090,,15000,Utility reimbursement
JE-0063,2025-02-28,Operating Expenses - February 2025,OPEX-02-2025,5000,100035,,Property management fee
JE-0063,2025-02-28,Operating Expenses - February 2025,OPEX-02-2025,2000,,100035,Accounts payable
JE-0064,2025-02-28,AP Payment - Property management fee February 2025,PAY-02-5000,2000,100035,,Clear AP
JE-0064,2025-02-28,AP Payment - Property management fee February 2025,PAY-02-5000,1000,,100035,Cash paid
JE-0065,2025-02-28,Operating Expenses - February 2025,OPEX-02-2025,5010,75000,,Repairs and maintenance
JE-0065,2025-02-28,Operating Expenses - February 2025,OPEX-02-2025,2000,,75000,Accounts payable
JE-0066,2025-02-28,AP Payment - Repairs and maintenance February 2025,PAY-02-5010,2000,75000,,Clear AP
JE-0066,2025-02-28,AP Payment - Repairs and maintenance February 2025,PAY-02-5010,1000,,75000,Cash paid
JE-0067,2025-02-28,Operating Expenses - February 2025,OPEX-02-2025,5020,15000,,Landscaping and grounds
JE-0067,2025-02-28,Operating Expenses - February 2025,OPEX-02-2025,2000,,15000,Accounts payable
JE-0068,2025-02-28,AP Payment - Landscaping and grounds February 2025,PAY-02-5020,2000,15000,,Clear AP
JE-0068,2025-02-28,AP Payment - Landscaping and grounds February 2025,PAY-02-5020,1000,,15000,Cash paid
JE-0069,2025-02-28,Operating Expenses - February 2025,OPEX-02-2025,5030,20000,,Cleaning and janitorial
JE-0069,2025-02-28,Operating Expenses - February 2025,OPEX-02-2025,2000,,20000,Accounts payable
JE-0070,2025-02-28,AP Payment - Cleaning and janitorial February 2025,PAY-02-5030,2000,20000,,Clear AP
JE-0070,2025-02-28,AP Payment - Cleaning and janitorial February 2025,PAY-02-5030,1000,,20000,Cash paid
JE-0071,2025-02-28,Operating Expenses - February 2025,OPEX-02-2025,5040,30000,,Electric - common areas
JE-0071,2025-02-28,Operating Expenses - February 2025,OPEX-02-2025,2000,,30000,Accounts payable
JE-0072,2025-02-28,AP Payment - Electric - common areas February 2025,PAY-02-5040,2000,30000,,Clear AP
JE-0072,2025-02-28,AP Payment - Electric - common areas February 2025,PAY-02-5040,1000,,30000,Cash paid
JE-0073,2025-02-28,Operating Expenses - February 2025,OPEX-02-2025,5050,40000,,Water and sewer
JE-0073,2025-02-28,Operating Expenses - February 2025,OPEX-02-2025,2000,,40000,Accounts payable
JE-0074,2025-02-28,AP Payment - Water and sewer February 2025,PAY-02-5050,2000,40000,,Clear AP
JE-0074,2025-02-28,AP Payment - Water and sewer February 2025,PAY-02-5050,1000,,40000,Cash paid
JE-0075,2025-02-28,Operating Expenses - February 2025,OPEX-02-2025,5060,5000,,Gas
JE-0075,2025-02-28,Operating Expenses - February 2025,OPEX-02-2025,2000,,5000,Accounts payable
JE-0076,2025-02-28,AP Payment - Gas February 2025,PAY-02-5060,2000,5000,,Clear AP
JE-0076,2025-02-28,AP Payment - Gas February 2025,PAY-02-5060,1000,,5000,Cash paid
JE-0077,2025-02-28,Operating Expenses - February 2025,OPEX-02-2025,5070,81667,,Property insurance
JE-0077,2025-02-28,Operating Expenses - February 2025,OPEX-02-2025,2000,,81667,Accounts payable
JE-0078,2025-02-28,AP Payment - Property insurance February 2025,PAY-02-5070,2000,81667,,Clear AP
JE-0078,2025-02-28,AP Payment - Property insurance February 2025,PAY-02-5070,1000,,81667,Cash paid
JE-0079,2025-02-28,Operating Expenses - February 2025,OPEX-02-2025,5090,140000,,Real estate taxes
JE-0079,2025-02-28,Operating Expenses - February 2025,OPEX-02-2025,2000,,140000,Accounts payable
JE-0080,2025-02-28,AP Payment - Real estate taxes February 2025,PAY-02-5090,2000,140000,,Clear AP
JE-0080,2025-02-28,AP Payment - Real estate taxes February 2025,PAY-02-5090,1000,,140000,Cash paid
JE-0081,2025-02-28,Operating Expenses - February 2025,OPEX-02-2025,5110,35000,,Security services
JE-0081,2025-02-28,Operating Expenses - February 2025,OPEX-02-2025,2000,,35000,Accounts payable
JE-0082,2025-02-28,AP Payment - Security services February 2025,PAY-02-5110,2000,35000,,Clear AP
JE-0082,2025-02-28,AP Payment - Security services February 2025,PAY-02-5110,1000,,35000,Cash paid
JE-0083,2025-02-28,Operating Expenses - February 2025,OPEX-02-2025,5120,15000,,Elevator maintenance
JE-0083,2025-02-28,Operating Expenses - February 2025,OPEX-02-2025,2000,,15000,Accounts payable
JE-0084,2025-02-28,AP Payment - Elevator maintenance February 2025,PAY-02-5120,2000,15000,,Clear AP
JE-0084,2025-02-28,AP Payment - Elevator maintenance February 2025,PAY-02-5120,1000,,15000,Cash paid
JE-0085,2025-02-28,Operating Expenses - February 2025,OPEX-02-2025,5130,12500,,HVAC maintenance
JE-0085,2025-02-28,Operating Expenses - February 2025,OPEX-02-2025,2000,,12500,Accounts payable
JE-0086,2025-02-28,AP Payment - HVAC maintenance February 2025,PAY-02-5130,2000,12500,,Clear AP
JE-0086,2025-02-28,AP Payment - HVAC maintenance February 2025,PAY-02-5130,1000,,12500,Cash paid
JE-0087,2025-02-28,Operating Expenses - February 2025,OPEX-02-2025,5140,6000,,Pest control
JE-0087,2025-02-28,Operating Expenses - February 2025,OPEX-02-2025,2000,,6000,Accounts payable
JE-0088,2025-02-28,AP Payment - Pest control February 2025,PAY-02-5140,2000,6000,,Clear AP
JE-0088,2025-02-28,AP Payment - Pest control February 2025,PAY-02-5140,1000,,6000,Cash paid
JE-0089,2025-02-28,Operating Expenses - February 2025,OPEX-02-2025,5150,10000,,Pool and amenity maintenance
JE-0089,2025-02-28,Operating Expenses - February 2025,OPEX-02-2025,2000,,10000,Accounts payable
JE-0090,2025-02-28,AP Payment - Pool and amenity maintenance February 2025,PAY-02-5150,2000,10000,,Clear AP
JE-0090,2025-02-28,AP Payment - Pool and amenity maintenance February 2025,PAY-02-5150,1000,,10000,Cash paid
JE-0091,2025-02-28,Operating Expenses - February 2025,OPEX-02-2025,5160,7000,,Trash and recycling
JE-0091,2025-02-28,Operating Expenses - February 2025,OPEX-02-2025,2000,,7000,Accounts payable
JE-0092,2025-02-28,AP Payment - Trash and recycling February 2025,PAY-02-5160,2000,7000,,Clear AP
JE-0092,2025-02-28,AP Payment - Trash and recycling February 2025,PAY-02-5160,1000,,7000,Cash paid
JE-0093,2025-02-28,Operating Expenses - February 2025,OPEX-02-2025,5170,5000,,Administrative and office
JE-0093,2025-02-28,Operating Expenses - February 2025,OPEX-02-2025,2000,,5000,Accounts payable
JE-0094,2025-02-28,AP Payment - Administrative and office February 2025,PAY-02-5170,2000,5000,,Clear AP
JE-0094,2025-02-28,AP Payment - Administrative and office February 2025,PAY-02-5170,1000,,5000,Cash paid
JE-0095,2025-02-28,Operating Expenses - February 2025,OPEX-02-2025,5180,7500,,Legal and professional
JE-0095,2025-02-28,Operating Expenses - February 2025,OPEX-02-2025,2000,,7500,Accounts payable
JE-0096,2025-02-28,AP Payment - Legal and professional February 2025,PAY-02-5180,2000,7500,,Clear AP
JE-0096,2025-02-28,AP Payment - Legal and professional February 2025,PAY-02-5180,1000,,7500,Cash paid
JE-0097,2025-02-28,Operating Expenses - February 2025,OPEX-02-2025,5190,10000,,Marketing and advertising
JE-0097,2025-02-28,Operating Expenses - February 2025,OPEX-02-2025,2000,,10000,Accounts payable
JE-0098,2025-02-28,AP Payment - Marketing and advertising February 2025,PAY-02-5190,2000,10000,,Clear AP
JE-0098,2025-02-28,AP Payment - Marketing and advertising February 2025,PAY-02-5190,1000,,10000,Cash paid
JE-0099,2025-02-28,Operating Expenses - February 2025,OPEX-02-2025,5200,7917,,Leasing commissions
JE-0099,2025-02-28,Operating Expenses - February 2025,OPEX-02-2025,2000,,7917,Accounts payable
JE-0100,2025-02-28,AP Payment - Leasing commissions February 2025,PAY-02-5200,2000,7917,,Clear AP
JE-0100,2025-02-28,AP Payment - Leasing commissions February 2025,PAY-02-5200,1000,,7917,Cash paid
JE-0101,2025-02-28,Operating Expenses - February 2025,OPEX-02-2025,5220,5667,,Bad debt expense
JE-0101,2025-02-28,Operating Expenses - February 2025,OPEX-02-2025,2000,,5667,Accounts payable
JE-0102,2025-02-28,AP Payment - Bad debt expense February 2025,PAY-02-5220,2000,5667,,Clear AP
JE-0102,2025-02-28,AP Payment - Bad debt expense February 2025,PAY-02-5220,1000,,5667,Cash paid
JE-0103,2025-02-28,Operating Expenses - February 2025,OPEX-02-2025,5230,20000,,Capital reserve contribution
JE-0103,2025-02-28,Operating Expenses - February 2025,OPEX-02-2025,2000,,20000,Accounts payable
JE-0104,2025-02-28,AP Payment - Capital reserve contribution February 2025,PAY-02-5230,2000,20000,,Clear AP
JE-0104,2025-02-28,AP Payment - Capital reserve contribution February 2025,PAY-02-5230,1000,,20000,Cash paid
JE-0105,2025-02-28,Operating Expenses - February 2025,OPEX-02-2025,5240,65000,,Payroll - on-site staff
JE-0105,2025-02-28,Operating Expenses - February 2025,OPEX-02-2025,2000,,65000,Accounts payable
JE-0106,2025-02-28,AP Payment - Payroll - on-site staff February 2025,PAY-02-5240,2000,65000,,Clear AP
JE-0106,2025-02-28,AP Payment - Payroll - on-site staff February 2025,PAY-02-5240,1000,,65000,Cash paid
JE-0107,2025-02-28,Operating Expenses - February 2025,OPEX-02-2025,5250,13000,,Payroll taxes and benefits
JE-0107,2025-02-28,Operating Expenses - February 2025,OPEX-02-2025,2000,,13000,Accounts payable
JE-0108,2025-02-28,AP Payment - Payroll taxes and benefits February 2025,PAY-02-5250,2000,13000,,Clear AP
JE-0108,2025-02-28,AP Payment - Payroll taxes and benefits February 2025,PAY-02-5250,1000,,13000,Cash paid
JE-0109,2025-02-28,Operating Expenses - February 2025,OPEX-02-2025,5260,2000,,Telephone and internet
JE-0109,2025-02-28,Operating Expenses - February 2025,OPEX-02-2025,2000,,2000,Accounts payable
JE-0110,2025-02-28,AP Payment - Telephone and internet February 2025,PAY-02-5260,2000,2000,,Clear AP
JE-0110,2025-02-28,AP Payment - Telephone and internet February 2025,PAY-02-5260,1000,,2000,Cash paid
JE-0111,2025-02-28,Operating Expenses - February 2025,OPEX-02-2025,5270,3000,,Software and technology
JE-0111,2025-02-28,Operating Expenses - February 2025,OPEX-02-2025,2000,,3000,Accounts payable
JE-0112,2025-02-28,AP Payment - Software and technology February 2025,PAY-02-5270,2000,3000,,Clear AP
JE-0112,2025-02-28,AP Payment - Software and technology February 2025,PAY-02-5270,1000,,3000,Cash paid
JE-0113,2025-02-28,Operating Expenses - February 2025,OPEX-02-2025,5280,1500,,Licenses and permits
JE-0113,2025-02-28,Operating Expenses - February 2025,OPEX-02-2025,2000,,1500,Accounts payable
JE-0114,2025-02-28,AP Payment - Licenses and permits February 2025,PAY-02-5280,2000,1500,,Clear AP
JE-0114,2025-02-28,AP Payment - Licenses and permits February 2025,PAY-02-5280,1000,,1500,Cash paid
JE-0115,2025-02-28,Operating Expenses - February 2025,OPEX-02-2025,5290,1250,,Bank charges and fees
JE-0115,2025-02-28,Operating Expenses - February 2025,OPEX-02-2025,2000,,1250,Accounts payable
JE-0116,2025-02-28,AP Payment - Bank charges and fees February 2025,PAY-02-5290,2000,1250,,Clear AP
JE-0116,2025-02-28,AP Payment - Bank charges and fees February 2025,PAY-02-5290,1000,,1250,Cash paid
JE-0117,2025-02-28,Mortgage Interest - February 2025,MTG-02-2025,7000,320833,,Mortgage interest expense
JE-0117,2025-02-28,Mortgage Interest - February 2025,MTG-02-2025,1000,,320833,Cash paid to BankUnited
JE-0118,2025-02-28,Mortgage Principal - February 2025,PRIN-02-2025,2200,41667,,Mortgage principal reduction
JE-0118,2025-02-28,Mortgage Principal - February 2025,PRIN-02-2025,1000,,41667,Cash paid to BankUnited
JE-0119,2025-03-31,Rental Income - March 2025,RENT-03-2025,1010,1897200,,Accounts receivable - tenant rent
JE-0119,2025-03-31,Rental Income - March 2025,RENT-03-2025,4000,,1897200,Residential rental income
JE-0120,2025-03-31,Rent Cash Receipt - March 2025,CASH-03-2025,1000,1897200,,Cash received for rent
JE-0120,2025-03-31,Rent Cash Receipt - March 2025,CASH-03-2025,1010,,1897200,Clear accounts receivable
JE-0121,2025-03-31,Other Income - March 2025,OTH-03-2025,1000,91250,,Parking pet laundry util reimbursement cash
JE-0121,2025-03-31,Other Income - March 2025,OTH-03-2025,4010,,60000,Parking income
JE-0121,2025-03-31,Other Income - March 2025,OTH-03-2025,4020,,11250,Pet fee income
JE-0121,2025-03-31,Other Income - March 2025,OTH-03-2025,4030,,5000,Laundry and vending
JE-0121,2025-03-31,Other Income - March 2025,OTH-03-2025,4090,,15000,Utility reimbursement
JE-0122,2025-03-31,Operating Expenses - March 2025,OPEX-03-2025,5000,100035,,Property management fee
JE-0122,2025-03-31,Operating Expenses - March 2025,OPEX-03-2025,2000,,100035,Accounts payable
JE-0123,2025-03-31,AP Payment - Property management fee March 2025,PAY-03-5000,2000,100035,,Clear AP
JE-0123,2025-03-31,AP Payment - Property management fee March 2025,PAY-03-5000,1000,,100035,Cash paid
JE-0124,2025-03-31,Operating Expenses - March 2025,OPEX-03-2025,5010,75000,,Repairs and maintenance
JE-0124,2025-03-31,Operating Expenses - March 2025,OPEX-03-2025,2000,,75000,Accounts payable
JE-0125,2025-03-31,AP Payment - Repairs and maintenance March 2025,PAY-03-5010,2000,75000,,Clear AP
JE-0125,2025-03-31,AP Payment - Repairs and maintenance March 2025,PAY-03-5010,1000,,75000,Cash paid
JE-0126,2025-03-31,Operating Expenses - March 2025,OPEX-03-2025,5020,15000,,Landscaping and grounds
JE-0126,2025-03-31,Operating Expenses - March 2025,OPEX-03-2025,2000,,15000,Accounts payable
JE-0127,2025-03-31,AP Payment - Landscaping and grounds March 2025,PAY-03-5020,2000,15000,,Clear AP
JE-0127,2025-03-31,AP Payment - Landscaping and grounds March 2025,PAY-03-5020,1000,,15000,Cash paid
JE-0128,2025-03-31,Operating Expenses - March 2025,OPEX-03-2025,5030,20000,,Cleaning and janitorial
JE-0128,2025-03-31,Operating Expenses - March 2025,OPEX-03-2025,2000,,20000,Accounts payable
JE-0129,2025-03-31,AP Payment - Cleaning and janitorial March 2025,PAY-03-5030,2000,20000,,Clear AP
JE-0129,2025-03-31,AP Payment - Cleaning and janitorial March 2025,PAY-03-5030,1000,,20000,Cash paid
JE-0130,2025-03-31,Operating Expenses - March 2025,OPEX-03-2025,5040,30000,,Electric - common areas
