entry_number,entry_date,description,reference,account_number,debit,credit,line_description
JE-017,2025-05-31,May Fuel and O&M,FUEL-MAY,1590,,3183333,Accum depr
JE-017,2025-05-31,May Fuel and O&M,FUEL-MAY,2000,,15492960,Fuel payable
JE-017,2025-05-31,May Fuel and O&M,FUEL-MAY,2010,,1691434,O&M accruals
JE-017,2025-05-31,May Fuel and O&M,FUEL-MAY,2060,,3150000,Interest payable
JE-019,2025-06-30,June Fuel Peak Season,FUEL-JUN,5000,15800000,,Gas commodity June peak
JE-019,2025-06-30,June Fuel Peak Season,FUEL-JUN,5010,1267840,,Pipeline
JE-019,2025-06-30,June Fuel Peak Season,FUEL-JUN,5020,154000,,Fuel mgmt
JE-019,2025-06-30,June Fuel Peak Season,FUEL-JUN,5100,486667,,Labor
JE-019,2025-06-30,June Fuel Peak Season,FUEL-JUN,5110,136267,,Burden
JE-019,2025-06-30,June Fuel Peak Season,FUEL-JUN,5800,3183333,,Depreciation
JE-019,2025-06-30,June Fuel Peak Season,FUEL-JUN,6000,3150000,,Interest
JE-019,2025-06-30,June Fuel Peak Season,FUEL-JUN,6010,154167,,Fin cost amort
JE-019,2025-06-30,June Fuel Peak Season,FUEL-JUN,6020,,175000,Interest income
JE-019,2025-06-30,June Fuel Peak Season,FUEL-JUN,1590,,3183333,Accum depr
JE-019,2025-06-30,June Fuel Peak Season,FUEL-JUN,2000,,17221840,Fuel payable
JE-019,2025-06-30,June Fuel Peak Season,FUEL-JUN,2010,,1770934,O&M accruals
JE-019,2025-06-30,June Fuel Peak Season,FUEL-JUN,2060,,3150000,Interest payable
JE-021,2025-07-31,July Fuel Peak,FUEL-JUL,5000,18400000,,Gas commodity July peak
JE-021,2025-07-31,July Fuel Peak,FUEL-JUL,5010,1476160,,Pipeline
JE-021,2025-07-31,July Fuel Peak,FUEL-JUL,5020,154000,,Fuel mgmt
JE-021,2025-07-31,July Fuel Peak,FUEL-JUL,5100,486667,,Labor
JE-021,2025-07-31,July Fuel Peak,FUEL-JUL,5110,136267,,Burden
JE-021,2025-07-31,July Fuel Peak,FUEL-JUL,5400,1066667,,Property tax Q3
JE-021,2025-07-31,July Fuel Peak,FUEL-JUL,5800,3183333,,Depreciation
JE-021,2025-07-31,July Fuel Peak,FUEL-JUL,6000,3150000,,Interest
JE-021,2025-07-31,July Fuel Peak,FUEL-JUL,6010,154167,,Fin cost amort
JE-021,2025-07-31,July Fuel Peak,FUEL-JUL,6020,,175000,Interest income
JE-021,2025-07-31,July Fuel Peak,FUEL-JUL,1590,,3183333,Accum depr
JE-021,2025-07-31,July Fuel Peak,FUEL-JUL,2000,,19876160,Fuel payable
JE-021,2025-07-31,July Fuel Peak,FUEL-JUL,2010,,2573101,O&M and tax
JE-021,2025-07-31,July Fuel Peak,FUEL-JUL,2060,,3150000,Interest payable
JE-023,2025-08-31,August Fuel and O&M,FUEL-AUG,5000,17200000,,Gas commodity August
JE-023,2025-08-31,August Fuel and O&M,FUEL-AUG,5010,1380320,,Pipeline
JE-023,2025-08-31,August Fuel and O&M,FUEL-AUG,5020,154000,,Fuel mgmt
JE-023,2025-08-31,August Fuel and O&M,FUEL-AUG,5100,486667,,Labor
JE-023,2025-08-31,August Fuel and O&M,FUEL-AUG,5110,136267,,Burden
JE-023,2025-08-31,August Fuel and O&M,FUEL-AUG,5800,3183333,,Depreciation
JE-023,2025-08-31,August Fuel and O&M,FUEL-AUG,6000,3150000,,Interest
JE-023,2025-08-31,August Fuel and O&M,FUEL-AUG,6010,154167,,Fin cost amort
JE-023,2025-08-31,August Fuel and O&M,FUEL-AUG,6020,,175000,Interest income
JE-023,2025-08-31,August Fuel and O&M,FUEL-AUG,1590,,3183333,Accum depr
JE-023,2025-08-31,August Fuel and O&M,FUEL-AUG,2000,,18734320,Fuel payable
JE-023,2025-08-31,August Fuel and O&M,FUEL-AUG,2010,,1570234,O&M accruals
JE-023,2025-08-31,August Fuel and O&M,FUEL-AUG,2060,,3150000,Interest payable
JE-026,2025-09-30,September Fuel Reduced,FUEL-SEP,5000,7800000,,Gas commodity September GT2 offline
JE-026,2025-09-30,September Fuel Reduced,FUEL-SEP,5010,625560,,Pipeline
JE-026,2025-09-30,September Fuel Reduced,FUEL-SEP,5020,154000,,Fuel mgmt
JE-026,2025-09-30,September Fuel Reduced,FUEL-SEP,5100,486667,,Labor
JE-026,2025-09-30,September Fuel Reduced,FUEL-SEP,5110,136267,,Burden
JE-026,2025-09-30,September Fuel Reduced,FUEL-SEP,5800,3183333,,Depreciation
JE-026,2025-09-30,September Fuel Reduced,FUEL-SEP,6000,3150000,,Interest
JE-026,2025-09-30,September Fuel Reduced,FUEL-SEP,6010,154167,,Fin cost amort
JE-026,2025-09-30,September Fuel Reduced,FUEL-SEP,6020,,175000,Interest income
JE-026,2025-09-30,September Fuel Reduced,FUEL-SEP,1590,,3183333,Accum depr
JE-026,2025-09-30,September Fuel Reduced,FUEL-SEP,2000,,9202560,Fuel payable
JE-026,2025-09-30,September Fuel Reduced,FUEL-SEP,2010,,1177434,O&M accruals
JE-026,2025-09-30,September Fuel Reduced,FUEL-SEP,2060,,3150000,Interest payable
JE-028,2025-10-31,October Fuel and O&M,FUEL-OCT,5000,11800000,,Gas commodity October
JE-028,2025-10-31,October Fuel and O&M,FUEL-OCT,5010,946480,,Pipeline
JE-028,2025-10-31,October Fuel and O&M,FUEL-OCT,5020,154000,,Fuel mgmt
JE-028,2025-10-31,October Fuel and O&M,FUEL-OCT,5100,486667,,Labor
JE-028,2025-10-31,October Fuel and O&M,FUEL-OCT,5110,136267,,Burden
JE-028,2025-10-31,October Fuel and O&M,FUEL-OCT,5400,1066667,,Property tax Q4
JE-028,2025-10-31,October Fuel and O&M,FUEL-OCT,5200,285000,,Routine maintenance
JE-028,2025-10-31,October Fuel and O&M,FUEL-OCT,5800,3183333,,Depreciation
JE-028,2025-10-31,October Fuel and O&M,FUEL-OCT,6000,3150000,,Interest
JE-028,2025-10-31,October Fuel and O&M,FUEL-OCT,6010,154167,,Fin cost amort
JE-028,2025-10-31,October Fuel and O&M,FUEL-OCT,6020,,175000,Interest income
JE-028,2025-10-31,October Fuel and O&M,FUEL-OCT,1590,,3183333,Accum depr
JE-028,2025-10-31,October Fuel and O&M,FUEL-OCT,2000,,12897480,Fuel payable
JE-028,2025-10-31,October Fuel and O&M,FUEL-OCT,2010,,2175101,O&M and tax
JE-028,2025-10-31,October Fuel and O&M,FUEL-OCT,2060,,3150000,Interest payable
JE-030,2025-11-30,November Fuel and O&M,FUEL-NOV,5000,13200000,,Gas commodity November
JE-030,2025-11-30,November Fuel and O&M,FUEL-NOV,5010,1059840,,Pipeline
JE-030,2025-11-30,November Fuel and O&M,FUEL-NOV,5020,154000,,Fuel mgmt
JE-030,2025-11-30,November Fuel and O&M,FUEL-NOV,5100,486667,,Labor
JE-030,2025-11-30,November Fuel and O&M,FUEL-NOV,5110,136267,,Burden
JE-030,2025-11-30,November Fuel and O&M,FUEL-NOV,5800,3183333,,Depreciation
JE-030,2025-11-30,November Fuel and O&M,FUEL-NOV,6000,3150000,,Interest
JE-030,2025-11-30,November Fuel and O&M,FUEL-NOV,6010,154167,,Fin cost amort
JE-030,2025-11-30,November Fuel and O&M,FUEL-NOV,6020,,175000,Interest income
JE-030,2025-11-30,November Fuel and O&M,FUEL-NOV,1590,,3183333,Accum depr
JE-030,2025-11-30,November Fuel and O&M,FUEL-NOV,2000,,14413840,Fuel payable
JE-030,2025-11-30,November Fuel and O&M,FUEL-NOV,2010,,1580234,O&M accruals
JE-030,2025-11-30,November Fuel and O&M,FUEL-NOV,2060,,3150000,Interest payable
JE-032,2025-12-31,December Fuel and O&M,FUEL-DEC,5000,14203599,,Gas commodity December
JE-032,2025-12-31,December Fuel and O&M,FUEL-DEC,5010,1139568,,Pipeline
JE-032,2025-12-31,December Fuel and O&M,FUEL-DEC,5020,154000,,Fuel mgmt
JE-032,2025-12-31,December Fuel and O&M,FUEL-DEC,5100,486667,,Labor
JE-032,2025-12-31,December Fuel and O&M,FUEL-DEC,5110,136267,,Burden
JE-032,2025-12-31,December Fuel and O&M,FUEL-DEC,5200,250000,,Routine maintenance
JE-032,2025-12-31,December Fuel and O&M,FUEL-DEC,5800,3183333,,Depreciation
JE-032,2025-12-31,December Fuel and O&M,FUEL-DEC,6000,3150000,,Interest
JE-032,2025-12-31,December Fuel and O&M,FUEL-DEC,6010,154167,,Fin cost amort
JE-032,2025-12-31,December Fuel and O&M,FUEL-DEC,6020,,175000,Interest income
JE-032,2025-12-31,December Fuel and O&M,FUEL-DEC,1590,,3183333,Accum depr
JE-032,2025-12-31,December Fuel and O&M,FUEL-DEC,2000,,15497167,Fuel payable
JE-032,2025-12-31,December Fuel and O&M,FUEL-DEC,2010,,1227101,O&M accruals
JE-032,2025-12-31,December Fuel and O&M,FUEL-DEC,2060,,3150000,Interest payable
JE-033,2025-12-31,December Year-End Adjustments,YE-ADJ,5300,1850000,,Water cost annual accrual adjustment
JE-033,2025-12-31,December Year-End Adjustments,YE-ADJ,5310,720000,,Chemicals annual
JE-033,2025-12-31,December Year-End Adjustments,YE-ADJ,5500,2850000,,NOx allowances purchased
JE-033,2025-12-31,December Year-End Adjustments,YE-ADJ,5510,1200000,,CO2 allowances
JE-033,2025-12-31,December Year-End Adjustments,YE-ADJ,5600,4820000,,ERCOT fees annual
JE-033,2025-12-31,December Year-End Adjustments,YE-ADJ,5610,2140000,,Interconnect charges
JE-033,2025-12-31,December Year-End Adjustments,YE-ADJ,5700,2400000,,Admin and general
JE-033,2025-12-31,December Year-End Adjustments,YE-ADJ,5710,1850000,,Legal and regulatory
JE-033,2025-12-31,December Year-End Adjustments,YE-ADJ,5720,980000,,IT and SCADA
JE-033,2025-12-31,December Year-End Adjustments,YE-ADJ,5410,6200000,,Property insurance
JE-033,2025-12-31,December Year-End Adjustments,YE-ADJ,5420,1480000,,GL insurance
JE-033,2025-12-31,December Year-End Adjustments,YE-ADJ,5400,12800000,,Property tax full year
JE-033,2025-12-31,December Year-End Adjustments,YE-ADJ,5220,980000,,Unplanned maintenance year total
JE-033,2025-12-31,December Year-End Adjustments,YE-ADJ,4050,,1800000,Carbon and RECs revenue recognition
JE-033,2025-12-31,December Year-End Adjustments,YE-ADJ,4040,,4200000,HRCO revenue recognition
JE-033,2025-12-31,December Year-End Adjustments,YE-ADJ,2020,,40270000,Year-end accrued liabilities and payables
JE-034,2025-12-31,Texas Franchise Tax Accrual,TAX-DEC,5700,80212,,Texas franchise tax
JE-034,2025-12-31,Texas Franchise Tax Accrual,TAX-DEC,2020,,80212,TX franchise tax payable
