entry_number,entry_date,description,reference,account_number,debit,credit,line_description
JE-008,2025-01-31,January Equipment Loan,LOAN-JAN,1000,,47500,Cash payment equipment loan
JE-010,2025-02-28,February Retainage,VDOT-RET2,1020,195000,,Retainage reclassification
JE-010,2025-02-28,February Retainage,VDOT-RET2,1010,,195000,Retainage from AR
JE-011,2025-02-28,February Costs - All Projects,COSTS-FEB,5100,880000,,Field labor wages
JE-011,2025-02-28,February Costs - All Projects,COSTS-FEB,5010,247700,,Labor burden
JE-011,2025-02-28,February Costs - All Projects,COSTS-FEB,5100,960000,,Subcontractor costs Appalachian + Shenandoah
JE-011,2025-02-28,February Costs - All Projects,COSTS-FEB,5200,420000,,Aggregate materials
JE-011,2025-02-28,February Costs - All Projects,COSTS-FEB,5300,235000,,Fuel and equipment
JE-011,2025-02-28,February Costs - All Projects,COSTS-FEB,5320,39873,,Depreciation allocated
JE-011,2025-02-28,February Costs - All Projects,COSTS-FEB,2000,,2782573,Payable and accrued costs
JE-012,2025-02-28,February Overhead,OVH-FEB,5400,103333,,PM salaries
JE-012,2025-02-28,February Overhead,OVH-FEB,5410,28933,,PM burden
JE-012,2025-02-28,February Overhead,OVH-FEB,5510,51667,,Home office
JE-012,2025-02-28,February Overhead,OVH-FEB,5600,40417,,Insurance
JE-012,2025-02-28,February Overhead,OVH-FEB,5700,23333,,Bonds
JE-012,2025-02-28,February Overhead,OVH-FEB,5800,15417,,Permits
JE-012,2025-02-28,February Overhead,OVH-FEB,5900,7917,,Tools
JE-012,2025-02-28,February Overhead,OVH-FEB,5910,12083,,Temp facilities
JE-012,2025-02-28,February Overhead,OVH-FEB,1000,,283100,Cash overhead
JE-013,2025-02-28,February Equipment Loan,LOAN-FEB,2050,23750,,Principal
JE-013,2025-02-28,February Equipment Loan,LOAN-FEB,6000,23750,,Interest
JE-013,2025-02-28,February Equipment Loan,LOAN-FEB,1000,,47500,Cash
JE-015,2025-03-31,March Retainage,VDOT-RET3,1020,210000,,Retainage
JE-015,2025-03-31,March Retainage,VDOT-RET3,1010,,210000,Retainage reclassification
JE-016,2025-03-31,March Direct Costs,COSTS-MAR,5100,920000,,Field labor March
JE-016,2025-03-31,March Direct Costs,COSTS-MAR,5010,259100,,Labor burden
JE-016,2025-03-31,March Direct Costs,COSTS-MAR,5100,1040000,,Subcontractors Appalachian Shenandoah Grading
JE-016,2025-03-31,March Direct Costs,COSTS-MAR,5200,450000,,Materials
JE-016,2025-03-31,March Direct Costs,COSTS-MAR,5300,260000,,Equipment fuel
JE-016,2025-03-31,March Direct Costs,COSTS-MAR,5320,39873,,Depreciation
JE-016,2025-03-31,March Direct Costs,COSTS-MAR,2000,,2969073,Payables
JE-017,2025-03-31,March Overhead,OVH-MAR,5400,103333,,PM
JE-017,2025-03-31,March Overhead,OVH-MAR,5410,28933,,PM burden
JE-017,2025-03-31,March Overhead,OVH-MAR,5510,51667,,Home office
JE-017,2025-03-31,March Overhead,OVH-MAR,5600,40417,,Insurance
JE-017,2025-03-31,March Overhead,OVH-MAR,5700,23333,,Bonds
JE-017,2025-03-31,March Overhead,OVH-MAR,5800,15417,,Permits
JE-017,2025-03-31,March Overhead,OVH-MAR,5900,7917,,Tools
JE-017,2025-03-31,March Overhead,OVH-MAR,5910,12083,,Temp facilities
JE-017,2025-03-31,March Overhead,OVH-MAR,1000,,283100,Cash overhead
JE-018,2025-03-31,March Equipment Loan,LOAN-MAR,2050,23750,,Principal
JE-018,2025-03-31,March Equipment Loan,LOAN-MAR,6000,23750,,Interest
JE-018,2025-03-31,March Equipment Loan,LOAN-MAR,1000,,47500,Cash
JE-019,2025-03-31,March New Pickup - RAM 3500,CAPEX-MAR,1510,58000,,RAM 3500 Pickup 3 added to fleet
JE-019,2025-03-31,March New Pickup - RAM 3500,CAPEX-MAR,1000,,58000,Cash for vehicle purchase
JE-021,2025-04-30,April Retainage All Projects,RET-APR,1020,257000,,Retainage 10%
JE-021,2025-04-30,April Retainage All Projects,RET-APR,1010,,257000,Reclassification
JE-022,2025-04-30,April Direct Costs All Projects,COSTS-APR,5100,890000,,Labor
JE-022,2025-04-30,April Direct Costs All Projects,COSTS-APR,5010,250675,,Labor burden
JE-022,2025-04-30,April Direct Costs All Projects,COSTS-APR,5100,1060000,,Subcontractors
JE-022,2025-04-30,April Direct Costs All Projects,COSTS-APR,5200,480000,,Materials
JE-022,2025-04-30,April Direct Costs All Projects,COSTS-APR,5300,275000,,Equipment fuel
JE-022,2025-04-30,April Direct Costs All Projects,COSTS-APR,5320,39873,,Depreciation
JE-022,2025-04-30,April Direct Costs All Projects,COSTS-APR,2000,,2995548,Payables
JE-023,2025-04-30,April Overhead,OVH-APR,5400,103333,,PM
JE-023,2025-04-30,April Overhead,OVH-APR,5410,28933,,Burden
JE-023,2025-04-30,April Overhead,OVH-APR,5510,51667,,Home office
JE-023,2025-04-30,April Overhead,OVH-APR,5600,40417,,Insurance
JE-023,2025-04-30,April Overhead,OVH-APR,5700,23333,,Bonds
JE-023,2025-04-30,April Overhead,OVH-APR,5800,15417,,Permits
JE-023,2025-04-30,April Overhead,OVH-APR,5900,7917,,Tools
JE-023,2025-04-30,April Overhead,OVH-APR,5910,12083,,Temp facilities
JE-023,2025-04-30,April Overhead,OVH-APR,1000,,283100,Cash
JE-024,2025-04-30,April Loan + Valley Traffic,MISC-APR,2050,23750,,Equipment loan principal
JE-024,2025-04-30,April Loan + Valley Traffic,MISC-APR,6000,23750,,Interest
JE-024,2025-04-30,April Loan + Valley Traffic,MISC-APR,2000,185000,,Traffic control PA4 paid
JE-024,2025-04-30,April Loan + Valley Traffic,MISC-APR,1000,,232500,Cash
JE-026,2025-05-31,May Retainage,RET-MAY,1020,266000,,Retainage
JE-026,2025-05-31,May Retainage,RET-MAY,1010,,266000,Reclassification
JE-027,2025-05-31,May Direct Costs,COSTS-MAY,5100,920000,,Labor
JE-027,2025-05-31,May Direct Costs,COSTS-MAY,5010,259100,,Burden
JE-027,2025-05-31,May Direct Costs,COSTS-MAY,5100,1080000,,Subcontractors
JE-027,2025-05-31,May Direct Costs,COSTS-MAY,5200,490000,,Materials
JE-027,2025-05-31,May Direct Costs,COSTS-MAY,5300,285000,,Fuel
JE-027,2025-05-31,May Direct Costs,COSTS-MAY,5320,39873,,Depreciation
JE-027,2025-05-31,May Direct Costs,COSTS-MAY,2000,,3073973,Payables
JE-028,2025-05-31,May Overhead,OVH-MAY,5400,103333,,PM
JE-028,2025-05-31,May Overhead,OVH-MAY,5410,28933,,Burden
JE-028,2025-05-31,May Overhead,OVH-MAY,5510,51667,,Home office
JE-028,2025-05-31,May Overhead,OVH-MAY,5600,40417,,Insurance
JE-028,2025-05-31,May Overhead,OVH-MAY,5700,23333,,Bonds
JE-028,2025-05-31,May Overhead,OVH-MAY,5800,15417,,Permits
JE-028,2025-05-31,May Overhead,OVH-MAY,5900,7917,,Tools
JE-028,2025-05-31,May Overhead,OVH-MAY,5910,12083,,Temp facilities
JE-028,2025-05-31,May Overhead,OVH-MAY,1000,,283100,Cash
JE-029,2025-05-31,May Equipment Loan,LOAN-MAY,2050,23750,,Principal
JE-029,2025-05-31,May Equipment Loan,LOAN-MAY,6000,23750,,Interest
JE-029,2025-05-31,May Equipment Loan,LOAN-MAY,1000,,47500,Cash
JE-031,2025-06-30,June Retainage,RET-JUN,1020,301000,,Retainage all projects
JE-031,2025-06-30,June Retainage,RET-JUN,1010,,301000,Reclassification
JE-032,2025-06-30,June Direct Costs,COSTS-JUN,5100,950000,,Labor peak summer
JE-032,2025-06-30,June Direct Costs,COSTS-JUN,5010,267575,,Burden
JE-032,2025-06-30,June Direct Costs,COSTS-JUN,5100,1140000,,Subcontractors - all 3 projects active
JE-032,2025-06-30,June Direct Costs,COSTS-JUN,5200,510000,,Materials
JE-032,2025-06-30,June Direct Costs,COSTS-JUN,5300,295000,,Fuel peak season
JE-032,2025-06-30,June Direct Costs,COSTS-JUN,5320,39873,,Depreciation
JE-032,2025-06-30,June Direct Costs,COSTS-JUN,2000,,3202448,Payables
JE-033,2025-06-30,June Overhead,OVH-JUN,5400,103333,,PM
JE-033,2025-06-30,June Overhead,OVH-JUN,5410,28933,,Burden
JE-033,2025-06-30,June Overhead,OVH-JUN,5510,51667,,Home office
JE-033,2025-06-30,June Overhead,OVH-JUN,5600,40417,,Insurance
JE-033,2025-06-30,June Overhead,OVH-JUN,5700,23333,,Bonds
JE-033,2025-06-30,June Overhead,OVH-JUN,5800,15417,,Permits
JE-033,2025-06-30,June Overhead,OVH-JUN,5900,7917,,Tools
JE-033,2025-06-30,June Overhead,OVH-JUN,5910,12083,,Temp facilities
JE-033,2025-06-30,June Overhead,OVH-JUN,1000,,283100,Cash
JE-034,2025-06-30,June Loan Payment,LOAN-JUN,2050,23750,,Principal
JE-034,2025-06-30,June Loan Payment,LOAN-JUN,6000,23750,,Interest
JE-034,2025-06-30,June Loan Payment,LOAN-JUN,1000,,47500,Cash
JE-036,2025-07-31,July Retainage,RET-JUL,1020,326000,,Retainage
JE-036,2025-07-31,July Retainage,RET-JUL,1010,,326000,Reclassification
JE-037,2025-07-31,July Direct Costs,COSTS-JUL,5100,970000,,Labor
JE-037,2025-07-31,July Direct Costs,COSTS-JUL,5010,273175,,Burden
JE-037,2025-07-31,July Direct Costs,COSTS-JUL,5100,1110000,,Subcontractors
JE-037,2025-07-31,July Direct Costs,COSTS-JUL,5200,510000,,Materials
JE-037,2025-07-31,July Direct Costs,COSTS-JUL,5300,300000,,Fuel
JE-037,2025-07-31,July Direct Costs,COSTS-JUL,5320,39873,,Depreciation
JE-037,2025-07-31,July Direct Costs,COSTS-JUL,2000,,3203048,Payables
JE-038,2025-07-31,July Overhead,OVH-JUL,5400,103333,,PM
JE-038,2025-07-31,July Overhead,OVH-JUL,5410,28933,,Burden
JE-038,2025-07-31,July Overhead,OVH-JUL,5510,51667,,Home office
JE-038,2025-07-31,July Overhead,OVH-JUL,5600,40417,,Insurance
JE-038,2025-07-31,July Overhead,OVH-JUL,5700,23333,,Bonds
JE-038,2025-07-31,July Overhead,OVH-JUL,5800,15417,,Permits
JE-038,2025-07-31,July Overhead,OVH-JUL,5900,7917,,Tools
JE-038,2025-07-31,July Overhead,OVH-JUL,5910,12083,,Temp facilities
JE-038,2025-07-31,July Overhead,OVH-JUL,1000,,283100,Cash
JE-039,2025-07-31,July Loan + Traffic,LOAN-JUL,2050,23750,,Principal
JE-039,2025-07-31,July Loan + Traffic,LOAN-JUL,6000,23750,,Interest
JE-039,2025-07-31,July Loan + Traffic,LOAN-JUL,2000,185000,,Valley Traffic PA5
JE-039,2025-07-31,July Loan + Traffic,LOAN-JUL,1000,,232500,Cash
JE-041,2025-08-31,August Retainage,RET-AUG,1020,291000,,Retainage
JE-041,2025-08-31,August Retainage,RET-AUG,1010,,291000,Reclassification
JE-042,2025-08-31,August Direct Costs,COSTS-AUG,5100,940000,,Labor
JE-042,2025-08-31,August Direct Costs,COSTS-AUG,5010,264850,,Burden
JE-042,2025-08-31,August Direct Costs,COSTS-AUG,5100,1075000,,Subcontractors
JE-042,2025-08-31,August Direct Costs,COSTS-AUG,5200,490000,,Materials
JE-042,2025-08-31,August Direct Costs,COSTS-AUG,5300,290000,,Fuel
JE-042,2025-08-31,August Direct Costs,COSTS-AUG,5320,39873,,Depreciation
JE-042,2025-08-31,August Direct Costs,COSTS-AUG,2000,,3099723,Payables
JE-043,2025-08-31,August Overhead,OVH-AUG,5400,103333,,PM
JE-043,2025-08-31,August Overhead,OVH-AUG,5410,28933,,Burden
JE-043,2025-08-31,August Overhead,OVH-AUG,5510,51667,,Home office
JE-043,2025-08-31,August Overhead,OVH-AUG,5600,40417,,Insurance
JE-043,2025-08-31,August Overhead,OVH-AUG,5700,23333,,Bonds
JE-043,2025-08-31,August Overhead,OVH-AUG,5800,15417,,Permits
JE-043,2025-08-31,August Overhead,OVH-AUG,5900,7917,,Tools
JE-043,2025-08-31,August Overhead,OVH-AUG,5910,12083,,Temp facilities
JE-043,2025-08-31,August Overhead,OVH-AUG,1000,,283100,Cash
JE-044,2025-08-31,August Equipment Loan,LOAN-AUG,2050,23750,,Principal
JE-044,2025-08-31,August Equipment Loan,LOAN-AUG,6000,23750,,Interest
JE-044,2025-08-31,August Equipment Loan,LOAN-AUG,1000,,47500,Cash
JE-046,2025-09-30,September Retainage,RET-SEP,1020,268000,,Retainage
JE-046,2025-09-30,September Retainage,RET-SEP,1010,,268000,Reclassification
JE-047,2025-09-30,September Direct Costs,COSTS-SEP,5100,890000,,Labor
JE-047,2025-09-30,September Direct Costs,COSTS-SEP,5010,250775,,Burden
JE-047,2025-09-30,September Direct Costs,COSTS-SEP,5100,1040000,,Subcontractors
JE-047,2025-09-30,September Direct Costs,COSTS-SEP,5200,460000,,Materials
JE-047,2025-09-30,September Direct Costs,COSTS-SEP,5300,268000,,Fuel
JE-047,2025-09-30,September Direct Costs,COSTS-SEP,5320,39873,,Depreciation
JE-047,2025-09-30,September Direct Costs,COSTS-SEP,2000,,2948648,Payables
JE-048,2025-09-30,September Overhead + Rollover Repair,OVH-SEP,5400,103333,,PM
JE-048,2025-09-30,September Overhead + Rollover Repair,OVH-SEP,5410,28933,,Burden
JE-048,2025-09-30,September Overhead + Rollover Repair,OVH-SEP,5510,51667,,Home office
JE-048,2025-09-30,September Overhead + Rollover Repair,OVH-SEP,5600,40417,,Insurance
JE-048,2025-09-30,September Overhead + Rollover Repair,OVH-SEP,5700,23333,,Bonds
JE-048,2025-09-30,September Overhead + Rollover Repair,OVH-SEP,5800,15417,,Permits
JE-048,2025-09-30,September Overhead + Rollover Repair,OVH-SEP,5900,7917,,Tools
JE-048,2025-09-30,September Overhead + Rollover Repair,OVH-SEP,5910,12083,,Temp facilities
JE-048,2025-09-30,September Overhead + Rollover Repair,OVH-SEP,5310,28400,,CB10 rollover repair
JE-048,2025-09-30,September Overhead + Rollover Repair,OVH-SEP,1000,,311500,Cash overhead + repair
JE-049,2025-09-30,September Equipment Loan + Traffic,LOAN-SEP,2050,23750,,Principal
JE-049,2025-09-30,September Equipment Loan + Traffic,LOAN-SEP,6000,23750,,Interest
JE-049,2025-09-30,September Equipment Loan + Traffic,LOAN-SEP,1000,,47500,Cash
JE-051,2025-10-31,October Retainage,RET-OCT,1020,238000,,Retainage
JE-051,2025-10-31,October Retainage,RET-OCT,1010,,238000,Reclassification
JE-052,2025-10-31,October Direct Costs,COSTS-OCT,5100,840000,,Labor
JE-052,2025-10-31,October Direct Costs,COSTS-OCT,5010,236600,,Burden
JE-052,2025-10-31,October Direct Costs,COSTS-OCT,5100,980000,,Subcontractors
JE-052,2025-10-31,October Direct Costs,COSTS-OCT,5200,420000,,Materials
JE-052,2025-10-31,October Direct Costs,COSTS-OCT,5300,240000,,Fuel
JE-052,2025-10-31,October Direct Costs,COSTS-OCT,5320,39873,,Depreciation
JE-052,2025-10-31,October Direct Costs,COSTS-OCT,2000,,2756473,Payables
JE-053,2025-10-31,October Overhead + Traffic CO,OVH-OCT,5400,103333,,PM
JE-053,2025-10-31,October Overhead + Traffic CO,OVH-OCT,5410,28933,,Burden
JE-053,2025-10-31,October Overhead + Traffic CO,OVH-OCT,5510,51667,,Home office
JE-053,2025-10-31,October Overhead + Traffic CO,OVH-OCT,5600,40417,,Insurance
JE-053,2025-10-31,October Overhead + Traffic CO,OVH-OCT,5700,23333,,Bonds
JE-053,2025-10-31,October Overhead + Traffic CO,OVH-OCT,5800,15417,,Permits
JE-053,2025-10-31,October Overhead + Traffic CO,OVH-OCT,5900,7917,,Tools
JE-053,2025-10-31,October Overhead + Traffic CO,OVH-OCT,5910,12083,,Temp facilities
JE-053,2025-10-31,October Overhead + Traffic CO,OVH-OCT,2000,185000,,Valley Traffic PA6 paid
JE-053,2025-10-31,October Overhead + Traffic CO,OVH-OCT,1000,,468100,Cash
JE-054,2025-10-31,October Equipment Loan,LOAN-OCT,2050,23750,,Principal
JE-054,2025-10-31,October Equipment Loan,LOAN-OCT,6000,23750,,Interest
JE-054,2025-10-31,October Equipment Loan,LOAN-OCT,1000,,47500,Cash
JE-056,2025-11-30,November Retainage,RET-NOV,1020,216800,,Retainage
JE-056,2025-11-30,November Retainage,RET-NOV,1010,,216800,Reclassification
JE-057,2025-11-30,November Direct Costs,COSTS-NOV,5100,800000,,Labor
JE-057,2025-11-30,November Direct Costs,COSTS-NOV,5010,225400,,Burden
JE-057,2025-11-30,November Direct Costs,COSTS-NOV,5100,920000,,Subcontractors
JE-057,2025-11-30,November Direct Costs,COSTS-NOV,5200,390000,,Materials
JE-057,2025-11-30,November Direct Costs,COSTS-NOV,5300,218000,,Fuel
JE-057,2025-11-30,November Direct Costs,COSTS-NOV,5320,39873,,Depreciation
JE-057,2025-11-30,November Direct Costs,COSTS-NOV,2000,,2593273,Payables
JE-058,2025-11-30,November Overhead + Wirtgen Service,OVH-NOV,5400,103333,,PM
JE-058,2025-11-30,November Overhead + Wirtgen Service,OVH-NOV,5410,28933,,Burden
JE-058,2025-11-30,November Overhead + Wirtgen Service,OVH-NOV,5510,51667,,Home office
JE-058,2025-11-30,November Overhead + Wirtgen Service,OVH-NOV,5600,40417,,Insurance
JE-058,2025-11-30,November Overhead + Wirtgen Service,OVH-NOV,5700,23333,,Bonds
JE-058,2025-11-30,November Overhead + Wirtgen Service,OVH-NOV,5800,15417,,Permits
JE-058,2025-11-30,November Overhead + Wirtgen Service,OVH-NOV,5900,7917,,Tools
JE-058,2025-11-30,November Overhead + Wirtgen Service,OVH-NOV,5910,12083,,Temp facilities
JE-058,2025-11-30,November Overhead + Wirtgen Service,OVH-NOV,5310,42800,,Wirtgen W200 1000hr service + bits
JE-058,2025-11-30,November Overhead + Wirtgen Service,OVH-NOV,1000,,325900,Cash
JE-059,2025-11-30,November Equipment Loan,LOAN-NOV,2050,23750,,Principal
JE-059,2025-11-30,November Equipment Loan,LOAN-NOV,6000,23750,,Interest
JE-059,2025-11-30,November Equipment Loan,LOAN-NOV,1000,,47500,Cash
JE-061,2025-12-31,December Retainage,RET-DEC,1020,194500,,Retainage 10% on December billings
JE-061,2025-12-31,December Retainage,RET-DEC,1010,,194500,Reclassification
JE-062,2025-12-31,December Direct Costs,COSTS-DEC,5100,780000,,Labor December (reduced - cold)
JE-062,2025-12-31,December Direct Costs,COSTS-DEC,5010,219750,,Burden
JE-062,2025-12-31,December Direct Costs,COSTS-DEC,5100,883690,,Subcontractors
JE-062,2025-12-31,December Direct Costs,COSTS-DEC,5200,340000,,Materials winter
JE-062,2025-12-31,December Direct Costs,COSTS-DEC,5300,195000,,Fuel
JE-062,2025-12-31,December Direct Costs,COSTS-DEC,5320,39873,,Depreciation
JE-062,2025-12-31,December Direct Costs,COSTS-DEC,2000,,2458313,Payables
JE-063,2025-12-31,December Overhead + Equipment Service,OVH-DEC,5400,103333,,PM
JE-063,2025-12-31,December Overhead + Equipment Service,OVH-DEC,5410,28933,,Burden
JE-063,2025-12-31,December Overhead + Equipment Service,OVH-DEC,5510,51667,,Home office
JE-063,2025-12-31,December Overhead + Equipment Service,OVH-DEC,5600,40417,,Insurance
JE-063,2025-12-31,December Overhead + Equipment Service,OVH-DEC,5700,23333,,Bonds
JE-063,2025-12-31,December Overhead + Equipment Service,OVH-DEC,5800,15417,,Permits
JE-063,2025-12-31,December Overhead + Equipment Service,OVH-DEC,5900,7917,,Tools
JE-063,2025-12-31,December Overhead + Equipment Service,OVH-DEC,5910,12083,,Temp facilities
JE-063,2025-12-31,December Overhead + Equipment Service,OVH-DEC,5310,30285,,D8T 500hr + 140M3 250hr service year-end
JE-063,2025-12-31,December Overhead + Equipment Service,OVH-DEC,1000,,313385,Cash overhead December
JE-064,2025-12-31,December Equipment Loan + Shareholder Dist,LOAN-DEC,2050,23750,,Principal
JE-064,2025-12-31,December Equipment Loan + Shareholder Dist,LOAN-DEC,6000,23750,,Interest
JE-064,2025-12-31,December Equipment Loan + Shareholder Dist,LOAN-DEC,3010,400000,,Shareholder distributions
JE-064,2025-12-31,December Equipment Loan + Shareholder Dist,LOAN-DEC,6010,22000,,Bank charges year-end
JE-064,2025-12-31,December Equipment Loan + Shareholder Dist,LOAN-DEC,1000,,469500,Cash payments December
JE-065,2025-12-31,December Income Tax Accrual,TAX-DEC,5900,432740,,Income tax expense
JE-065,2025-12-31,December Income Tax Accrual,TAX-DEC,2020,,432740,Income tax payable
JE-066,2025-12-31,December Inventory and Materials Stockpile,INV-DEC,1050,920000,,Year-end materials inventory on site
JE-066,2025-12-31,December Inventory and Materials Stockpile,INV-DEC,5200,,920000,Reverse cost to inventory - on hand
JE-067,2025-12-31,December CIE Adjustment,CIE-DEC,1030,800000,,Costs in excess of billings
JE-067,2025-12-31,December CIE Adjustment,CIE-DEC,4000,,800000,CIE recognized on balance sheet
