name,phase_name,priority,start_date,end_date,completion_pct,is_milestone,is_critical_path,project_name
MEP rough-in Level 9 through Level 20,MEP Rough-In,critical,2025-02-01,2025-09-30,100,false,true,Lumière Brickell Marriott Autograph Collection
MEP rough-in Level 21 through Level 32,MEP Rough-In,high,2025-08-01,2026-03-31,55,false,false,Lumière Brickell Marriott Autograph Collection
MEP rough-in Level 33 through Level 42,MEP Rough-In,medium,2025-12-01,2026-06-30,20,false,false,Lumière Brickell Marriott Autograph Collection
Fire protection rough-in Level 1-22,MEP Rough-In,high,2024-09-01,2025-12-31,100,false,false,Lumière Brickell Marriott Autograph Collection
Fire protection rough-in Level 23-42,MEP Rough-In,medium,2025-10-01,2026-07-31,30,false,false,Lumière Brickell Marriott Autograph Collection
Interior framing Level 1-12,Interior Framing & Drywall,critical,2025-03-01,2025-09-30,100,false,true,Lumière Brickell Marriott Autograph Collection
Interior framing Level 13-24,Interior Framing & Drywall,critical,2025-07-01,2025-12-31,85,false,true,Lumière Brickell Marriott Autograph Collection
Interior framing Level 25-42,Interior Framing & Drywall,high,2025-10-01,2026-05-31,40,false,false,Lumière Brickell Marriott Autograph Collection
Drywall hang and finish Level 1-12,Interior Framing & Drywall,critical,2025-07-01,2026-01-31,80,false,true,Lumière Brickell Marriott Autograph Collection
Drywall hang and finish Level 13-42,Interior Framing & Drywall,high,2025-11-01,2026-07-31,25,false,false,Lumière Brickell Marriott Autograph Collection
Lobby and public area finishes,Interior Finishes & FF&E,critical,2025-09-01,2026-09-30,35,false,true,Lumière Brickell Marriott Autograph Collection
Guest room millwork and finishes Level 1-12,Interior Finishes & FF&E,critical,2026-01-01,2026-07-31,15,false,true,Lumière Brickell Marriott Autograph Collection
Guest room millwork and finishes Level 13-42,Interior Finishes & FF&E,high,2026-03-01,2026-10-31,0,false,false,Lumière Brickell Marriott Autograph Collection
FF&E installation Level 1-12,Interior Finishes & FF&E,critical,2026-05-01,2026-09-30,0,false,true,Lumière Brickell Marriott Autograph Collection
FF&E installation Level 13-42,Interior Finishes & FF&E,high,2026-07-01,2026-10-31,0,false,false,Lumière Brickell Marriott Autograph Collection
Rooftop pool and spa systems,Hospitality Specialty Systems,high,2025-06-01,2026-08-31,50,false,false,Lumière Brickell Marriott Autograph Collection
Commercial kitchen - all outlets,Hospitality Specialty Systems,critical,2025-12-01,2026-09-30,5,false,true,Lumière Brickell Marriott Autograph Collection
Ballroom AV and rigging systems,Hospitality Specialty Systems,high,2025-10-01,2026-09-30,10,false,false,Lumière Brickell Marriott Autograph Collection
Elevator installation - 10 cabs,Hospitality Specialty Systems,critical,2025-01-01,2026-10-31,45,false,true,Lumière Brickell Marriott Autograph Collection
EV charging stations - parking garage,Hospitality Specialty Systems,medium,2026-04-01,2026-08-31,0,false,false,Lumière Brickell Marriott Autograph Collection
Marriott brand commissioning and PIP,Commissioning & Marriott PIP,critical,2026-08-01,2026-11-30,0,false,true,Lumière Brickell Marriott Autograph Collection
LEED Silver certification documentation,Commissioning & Marriott PIP,high,2026-08-01,2026-11-30,0,false,false,Lumière Brickell Marriott Autograph Collection
Soft opening - Substantial Completion,Commissioning & Marriott PIP,critical,2026-11-30,2026-11-30,0,true,true,Lumière Brickell Marriott Autograph Collection
