entry_number,entry_date,description,reference,account_number,debit,credit,line_description
JE-030,2026-01-31,G&A salaries January 2026,PR-GA-JAN,2030,,700000,Accrued payroll G&A January
JE-031,2025-10-31,Insurance – Q4 2025,EXP-INS-Q4,6030,385000,,General liability workers comp umbrella Q4
JE-031,2025-10-31,Insurance – Q4 2025,EXP-INS-Q4,1040,,385000,Draw on prepaid insurance
JE-032,2026-01-31,Insurance – January 2026,EXP-INS-JAN,6030,128000,,Insurance January 2026
JE-032,2026-01-31,Insurance – January 2026,EXP-INS-JAN,2040,,128000,Accrued insurance January
JE-033,2025-12-31,Depreciation – Q4 2025,DEP-Q4-25,6040,420000,,Equipment and vehicle depreciation Q4 2025
JE-033,2025-12-31,Depreciation – Q4 2025,DEP-Q4-25,1130,,420000,Accumulated depreciation Q4
JE-034,2026-01-31,Depreciation – January 2026,DEP-JAN-26,6040,140000,,Equipment and vehicle depreciation January 2026
JE-034,2026-01-31,Depreciation – January 2026,DEP-JAN-26,1130,,140000,Accumulated depreciation January
JE-035,2025-12-31,Professional fees – Q4 2025,EXP-PROF-Q4,6050,145000,,Legal
JE-035,2025-12-31,Professional fees – Q4 2025,EXP-PROF-Q4,2040,,145000,Accrued professional fees Q4
JE-036,2026-01-31,Office and technology expenses January,EXP-IT-JAN,6080,48000,,Software subscriptions and IT January
JE-036,2026-01-31,Office and technology expenses January,EXP-IT-JAN,2040,,48000,Accrued office expenses
JE-037,2025-12-31,Interest expense Q4 2025,EXP-INT-Q4,7000,92000,,Interest on equipment financing and LOC Q4 2025
JE-037,2025-12-31,Interest expense Q4 2025,EXP-INT-Q4,2040,,92000,Accrued interest Q4
JE-038,2026-01-31,Interest expense January 2026,EXP-INT-JAN,7000,31000,,Interest January 2026
JE-038,2026-01-31,Interest expense January 2026,EXP-INT-JAN,2040,,31000,Accrued interest January
JE-039,2025-12-31,Income tax expense accrual year-end,TAX-YE-25,8000,1850000,,Federal and state income tax accrual FY2025
JE-039,2025-12-31,Income tax accrual year-end,TAX-YE-25,2050,,1850000,Income taxes payable year-end
JE-040,2026-01-31,Retainage withheld from MAC billings – MSP NTE,RET-MAC-01,1020,2890000,,10% retainage on MSP NTE billings to date
JE-040,2026-01-31,Retainage withheld from MAC billings – MSP NTE,RET-MAC-01,1010,,2890000,Reduce AR for retainage held
JE-041,2026-01-31,Retainage withheld from subs – MSP NTE,RET-SUB-01,2000,2240000,,10% retainage withheld from sub payments
JE-041,2026-01-31,Retainage withheld from subs – MSP NTE,RET-SUB-01,2010,,2240000,Retainage payable to subs
JE-000,2024-01-31,Opening balance entry – beginning of operations tracking period,OB-2024,1000,5500000,,Beginning cash balance carryforward
JE-000,2024-01-31,Opening balance entry – beginning of operations tracking period,OB-2024,1100,5297000,,Equipment net book value beginning of period (gross 7.1M less accum dep 1.8M)
JE-000,2024-01-31,Opening balance entry – beginning of operations tracking period,OB-2024,1200,150000,,Security deposits and other long-term assets
JE-000,2024-01-31,Opening balance entry – beginning of operations tracking period,OB-2024,1040,650000,,Prepaid insurance beginning of period
JE-000,2024-01-31,Opening balance entry – beginning of operations tracking period,OB-2024,2100,0,2850000,Equipment financing – long-term debt
JE-000,2024-01-31,Opening balance entry – beginning of operations tracking period,OB-2024,3000,0,500000,Common stock – paid-in capital
JE-000,2024-01-31,Opening balance entry – beginning of operations tracking period,OB-2024,3010,0,8247000,Retained earnings – beginning of period
