name,code,status,project_type,address,city,state,zip,client_name,client_email,client_phone,budget,estimated_cost,start_date,end_date,description,completion_pct
Katy Asian Town Mixed Use,KAT-2014,completed,Mixed Use,23000 Colonial Pkwy,Katy,TX,77449,Chen Investment Partners,walter@chen-investments.com,713-555-0403,42000000,40100000,2013-08-01,2015-12-15,Mixed-use development with 150000 sqft retail 200 apartments and cultural center,100
Museum District Luxury Residences,MDL-2015,completed,Residential,4100 Montrose Blvd,Houston,TX,77006,Drake Properties LLC,robert@drakeproperties.com,713-555-0405,62000000,64800000,2014-01-15,2016-10-30,Twin 20-story residential towers with 240 units rooftop pool and ground floor retail. Harvey prep delays in final phase,100
Harvey Emergency Levee Repairs,HLR-2017,completed,Infrastructure,Multiple Barker Reservoir Sites,Houston,TX,77084,Harris County Flood Control,sharon@hcfcd.org,713-555-0406,85000000,92000000,2017-09-15,2019-03-30,Emergency levee repairs and spillway reinforcement at Barker and Addicks reservoirs post-Hurricane Harvey. Massive scope creep and emergency pricing,100
Midtown Mixed-Use Tower,MMT-2018,completed,Mixed Use,2800 Main St,Houston,TX,77002,Bayou City REIT,christine@bayoucity-reit.com,713-555-0402,78000000,75500000,2017-04-01,2019-11-30,32-story mixed-use with 300 apartments 30000 sqft retail and 15000 sqft coworking,100
Reid Grand Hotel Downtown,RGH-2018,completed,Renovation,1200 Texas Ave,Houston,TX,77002,Reid Hospitality Group,marcus@reid-hospitality.com,713-555-0407,35000000,33500000,2017-08-15,2019-06-30,Complete renovation of 1925 historic hotel. 200 rooms restored with modern systems preserving original facade,100
NASA Johnson Space Center Lab Wing,NJL-2019,completed,Institutional,2101 E NASA Pkwy,Houston,TX,77058,Foster Medical Systems,daniel@foster-medical.com,713-555-0409,48000000,46200000,2018-03-01,2020-08-30,Specialized research laboratory wing with clean rooms mission control integration and blast resistance,100
Port Turning Basin Dredging & Bulkhead,PTB-2019,completed,Infrastructure,Turning Basin Terminal,Houston,TX,77020,Port of Houston Authority,sylvia@porthouston.com,713-555-0412,32000000,30800000,2018-06-15,2020-02-28,Channel dredging from 40ft to 52ft depth with new sheet pile bulkhead and fendering system,100
COVID Emergency Medical Facility,CEM-2020,completed,Institutional,NRG Center South Hall,Houston,TX,77054,Foster Medical Systems,daniel@foster-medical.com,713-555-0409,12000000,14500000,2020-03-20,2020-05-15,Emergency 250-bed medical facility conversion at NRG Center. Completed in 56 days. Premium labor and material costs,100
Heights Townhome Village Phase III,HTV-2020,completed,Residential,1600 Yale St,Houston,TX,77008,Drake Properties LLC,robert@drakeproperties.com,713-555-0405,12000000,13200000,2019-11-01,2021-04-30,28-unit Phase III with upgraded smart home technology and solar. COVID supply chain added $1.2M to costs,100
Woodlands Corporate Campus Bldg 2,WCB-2021,completed,Commercial,26 Waterway Ave,The Woodlands,TX,77380,Chen Investment Partners,walter@chen-investments.com,713-555-0403,44000000,42500000,2020-06-15,2022-09-30,10-story Class A office with net-zero energy design wellness center and automated parking,100
Cypress Creek Flood Control Channel,CCF-2021,completed,Infrastructure,Cypress Creek at US 290,Houston,TX,77070,Harris County Flood Control,sharon@hcfcd.org,713-555-0406,65000000,63000000,2020-09-01,2023-01-30,4.5 miles of channel widening with 3 detention basins and recreational trail network,100
HISD Career & Technology Center,HCT-2022,completed,Institutional,6300 Irvington Blvd,Houston,TX,77022,Houston ISD Facilities,linda@hisd.edu,713-555-0408,38000000,36800000,2021-04-15,2023-06-30,150000 sqft career center with auto shop welding lab commercial kitchen and health sciences wing,100
Channelview Industrial Park Phase III,CIP-2022,completed,Industrial,16000 Market Street Rd,Channelview,TX,77530,Kemp Industrial Partners,raymond@kemp-industrial.com,713-555-0411,26000000,25200000,2021-08-01,2023-03-30,Cold storage expansion with 200000 sqft frozen warehouse and cross-dock facility,100
Energy Corridor Campus Tower C,ECC-2023,active,Commercial,15000 St. Marys Ln,Houston,TX,77079,Chen Investment Partners,walter@chen-investments.com,713-555-0403,52000000,49500000,2022-06-01,2025-12-30,14-story LEED Platinum tower completing the campus with conference center and amenity terrace,72
Westchase District Transit Hub,WDT-2023,active,Infrastructure,10800 Richmond Ave,Houston,TX,77042,Texas DOT Houston District,patricia@txdot-houston.gov,713-555-0404,35000000,33500000,2022-09-15,2025-06-30,Multi-modal transit center with bus rapid transit station park-and-ride and bicycle facilities,85
Reid Luxury Resort & Spa,RLR-2023,active,Commercial,2200 Post Oak Blvd,Houston,TX,77056,Reid Hospitality Group,marcus@reid-hospitality.com,713-555-0407,125000000,118000000,2022-03-01,2026-03-30,42-story luxury resort with 520 rooms full-service spa rooftop infinity pool and 6 restaurants,45
Port Container Terminal Automation,PCT-2024,active,Infrastructure,7500 Clinton Dr,Houston,TX,77020,Port of Houston Authority,sylvia@porthouston.com,713-555-0412,180000000,172000000,2023-01-15,2027-06-30,Fully automated container terminal with 8 STS cranes AGV fleet and terminal operating system,28
Museum Park High-Rise Residences,MPH-2024,active,Residential,1400 Binz St,Houston,TX,77004,Bayou City REIT,christine@bayoucity-reit.com,713-555-0402,88000000,84500000,2023-04-01,2026-08-30,Twin 28-story luxury residential towers with 380 units clubhouse and sky lounge,52
Sugar Land Town Square Expansion,STS-2024,active,Mixed Use,15958 City Walk,Sugar Land,TX,77478,Woodward Retail Development,angela@woodward-retail.com,713-555-0410,65000000,62000000,2023-07-15,2026-04-30,Mixed-use expansion with 200000 sqft retail 350 apartments performing arts venue and hotel,38
Hardy Toll Road Widening Segment 3,HTR-2024,active,Infrastructure,Hardy Toll Road FM 1960 to Beltway 8,Houston,TX,77060,Texas DOT Houston District,patricia@txdot-houston.gov,713-555-0404,42000000,40500000,2023-10-01,2025-12-15,4-lane to 6-lane widening with sound walls retaining walls and drainage improvements,60
HISD Magnet School Renovation,HMS-2025,active,Renovation,4400 Stanford St,Houston,TX,77006,Houston ISD Facilities,linda@hisd.edu,713-555-0408,22000000,21000000,2024-06-01,2026-01-30,Complete renovation of 1965 magnet school with seismic upgrade new MEP and 30000 sqft addition,68
Woodlands Mixed-Use Village,WMV-2025,active,Mixed Use,1950 Lake Woodlands Dr,The Woodlands,TX,77380,Chen Investment Partners,walter@chen-investments.com,713-555-0403,95000000,90000000,2024-03-15,2027-09-30,Master-planned village with 400 apartments 100000 sqft retail central park and boutique hotel,22
Drake Waterfront Condominiums,DWC-2025,active,Residential,500 Allen Pkwy,Houston,TX,77019,Drake Properties LLC,robert@drakeproperties.com,713-555-0405,110000000,105000000,2024-01-01,2027-04-30,45-story waterfront luxury condominiums with 200 units marina access and private boat dock,35
Foster Regional Medical Center,FRM-2025,active,Institutional,8400 Willowbrook Blvd,Houston,TX,77070,Foster Medical Systems,daniel@foster-medical.com,713-555-0409,220000000,210000000,2024-04-15,2028-06-30,500-bed regional medical center with trauma center cancer wing and medical office building,15
Kemp Petrochemical Storage Facility,KPS-2025,active,Industrial,16200 Market Street Rd,Channelview,TX,77530,Kemp Industrial Partners,raymond@kemp-industrial.com,713-555-0411,75000000,71000000,2024-08-01,2026-11-30,12-tank petrochemical storage with rail loading vapor recovery and fire suppression systems,42
San Jacinto River Bridge Replacement,SJR-2025,on_hold,Infrastructure,I-10 at San Jacinto River,Baytown,TX,77520,Texas DOT Houston District,patricia@txdot-houston.gov,713-555-0404,280000000,268000000,2024-02-15,2028-12-30,Replace 1960s bridge with modern cable-stayed design. ON HOLD due to environmental review delay,8
Galleria District Hotel Tower,GDH-2025,on_hold,Commercial,5100 Westheimer Rd,Houston,TX,77056,Reid Hospitality Group,marcus@reid-hospitality.com,713-555-0407,85000000,82000000,2024-05-01,2027-01-30,30-story luxury hotel adjacent to Galleria. ON HOLD pending financing restructure after interest rate hike,5
Heights Historic Lofts,HHL-2025,on_hold,Renovation,800 Heights Blvd,Houston,TX,77008,Drake Properties LLC,robert@drakeproperties.com,713-555-0405,15000000,14200000,2024-09-01,2026-03-30,Convert 1920s cotton warehouse to 60 loft apartments. ON HOLD - discovered asbestos and lead paint requiring extensive abatement,12
Port LNG Export Terminal Phase 1,PLN-2026,pre_construction,Industrial,8000 Clinton Dr,Houston,TX,77020,Port of Houston Authority,sylvia@porthouston.com,713-555-0412,450000000,425000000,2026-06-01,2030-06-30,LNG liquefaction and export terminal with 2 trains and marine loading arms,0
Katy Grand Parkway Town Center,KGP-2026,pre_construction,Mixed Use,28000 Grand Pkwy,Katy,TX,77494,Woodward Retail Development,angela@woodward-retail.com,713-555-0410,120000000,115000000,2026-03-15,2029-01-30,Master-planned town center with 500000 sqft retail 800 apartments and 2 hotels,0
HISD Stadium & Athletic Complex,HSA-2026,pre_construction,Institutional,5000 Griggs Rd,Houston,TX,77021,Houston ISD Facilities,linda@hisd.edu,713-555-0408,75000000,72000000,2026-08-01,2029-04-30,35000-seat stadium with track facility fieldhouse and indoor practice facility,0
Brazos River Flood Control Phase A,BRF-2026,pre_construction,Infrastructure,Brazos River at FM 723,Rosenberg,TX,77471,Harris County Flood Control,sharon@hcfcd.org,713-555-0406,180000000,172000000,2026-04-01,2029-12-30,8.5 miles of levee construction with 5 detention basins and pump stations,0
Bayou City Supertall Tower,BCS-2027,pre_construction,Commercial,1500 Louisiana St,Houston,TX,77002,Harper Development Group,alan@harperdev.com,713-555-0401,650000000,620000000,2027-01-15,2030-12-30,82-story mixed-use supertall with 400 condos 300-room hotel offices and observation deck. Largest project in company history,0
Drake Sustainable Community,DSC-2027,pre_construction,Residential,12000 West Airport Blvd,Sugar Land,TX,77478,Drake Properties LLC,robert@drakeproperties.com,713-555-0405,180000000,170000000,2027-03-01,2030-08-30,1200-unit sustainable community with net-zero homes community farm solar canopy and EV charging,0
Second Midtown Hotel Failed Project,SMH-2015,closed,Commercial,2600 Main St,Houston,TX,77002,Reid Hospitality Group,marcus@reid-hospitality.com,713-555-0407,45000000,52000000,2014-06-01,2016-12-30,25-story hotel project. TERMINATED after contractor dispute and litigation. Building demolished at 40% completion. $18M loss,40
Galveston Beachfront Resort,GBR-2016,closed,Commercial,3800 Seawall Blvd,Galveston,TX,77550,Reid Hospitality Group,marcus@reid-hospitality.com,713-555-0407,55000000,48000000,2015-03-15,2017-06-30,Beachfront resort development. CANCELLED after Hurricane Harvey damage to partially completed structure. Insurance dispute ongoing,35
Greenspoint Office Renovation,GOR-2019,closed,Renovation,200 Greenspoint Mall,Houston,TX,77060,Bayou City REIT,christine@bayoucity-reit.com,713-555-0402,8000000,7500000,2018-08-01,2020-01-15,Office renovation at Greenspoint Mall. PROJECT ABANDONED when mall owner filed bankruptcy. $2.1M in unpaid receivables written off,55
